id,desire,description
Desire_3.042898279713684e+18_Shop,Shop,This person wants to Shop
Desire_1.586876555727136e+19_School,School,This person wants to School
Desire_1.1576579517790798e+19_School,School,This person wants to School
Desire_8.406536686754593e+18_Shop,Shop,This person wants to Shop
Desire_1.1156174530945843e+19_Recreation,Recreation,This person wants to Recreation
Desire_3.788140392910308e+18_Eat,Eat,This person wants to Eat
Desire_9.57884249095133e+17_Eat,Eat,This person wants to Eat
Desire_1.6399479785059631e+19_Eat,Eat,This person wants to Eat
Desire_1.9332840807747663e+18_Eat,Eat,This person wants to Eat
Desire_3.5367466730231634e+18_Eat,Eat,This person wants to Eat
Desire_1.1264717060570833e+19_Shop,Shop,This person wants to Shop
Desire_1.0764315543703308e+19_Recreation,Recreation,This person wants to Recreation
Desire_9.51623562795022e+18_Shop,Shop,This person wants to Shop
Desire_1.613628521833393e+18_Errands,Errands,This person wants to Errands
Desire_2.448535250358194e+17_Recreation,Recreation,This person wants to Recreation
Desire_1.5013334280448176e+19_Shop,Shop,This person wants to Shop
Desire_1.5097421240128915e+19_Errands,Errands,This person wants to Errands
Desire_1.6758875072511873e+19_Eat,Eat,This person wants to Eat
Desire_1.3015029163221018e+18_Shop,Shop,This person wants to Shop
Desire_5.135436199063312e+18_Recreation,Recreation,This person wants to Recreation
Desire_1.6696286622168232e+19_Shop,Shop,This person wants to Shop
Desire_8.087995398757763e+17_Recreation,Recreation,This person wants to Recreation
Desire_1.2019450705076388e+19_Shop,Shop,This person wants to Shop
Desire_5.753821105578652e+18_Errands,Errands,This person wants to Errands
Desire_6.976086373915017e+18_Eat,Eat,This person wants to Eat
Desire_1.0152857555130687e+19_Shop,Shop,This person wants to Shop
Desire_1.2244273262536088e+19_Eat,Eat,This person wants to Eat
Desire_9.550515739709802e+18_Recreation,Recreation,This person wants to Recreation
Desire_2.3419822548414064e+16_Eat,Eat,This person wants to Eat
Desire_1.2120890043478491e+19_Eat,Eat,This person wants to Eat
Desire_1.5824490855283251e+19_Recreation,Recreation,This person wants to Recreation
Desire_7.646931215736285e+18_Eat,Eat,This person wants to Eat
Desire_7.409833674404891e+17_Shop,Shop,This person wants to Shop
Desire_3.143424673927809e+17_Eat,Eat,This person wants to Eat
Desire_5.346498065269284e+18_Shop,Shop,This person wants to Shop
Desire_1.3440014668275544e+19_Errands,Errands,This person wants to Errands
Desire_1.6727979377688314e+19_Eat,Eat,This person wants to Eat
Desire_5.759416724449921e+18_School,School,This person wants to School
Desire_1.3305947277325978e+19_Shop,Shop,This person wants to Shop
Desire_1.6618118215645612e+19_Shop,Shop,This person wants to Shop
Desire_2.9109937447638e+18_Eat,Eat,This person wants to Eat
