id,target_amenity,mode,distance_miles,duration_minutes,location_name,description
Internsion_1.8232744453109424e+19,Leisure & Wellness,Car,1.2957686574342109,6.0,ZONE5 Fitness,"This person goes to ZONE5 Fitness by Car, this place is in the amenity category of Leisure & Wellness/Gym. The distance is 1.2957686574342109 miles. It takes 6.0 minutes."
Internsion_5.093603059217279e+18,Entertainment,Walking,0.5158261782108945,9.0,Ringer Park,"This person goes to Ringer Park by Walking, this place is in the amenity category of Entertainment/Zoos and Nature Parks. The distance is 0.5158261782108945 miles. It takes 9.0 minutes."
Internsion_1.6549048045322406e+19,Cultural,Walking,0.1621690621100117,3.0,The Sports Museum,"This person goes to The Sports Museum by Walking, this place is in the amenity category of Cultural/Museum. The distance is 0.1621690621100117 miles. It takes 3.0 minutes."
Internsion_6.472300780287934e+18,Hotel,Walking,0.8005411992755864,15.0,Doubletree By Hilton Hotel Boston Downtown,"This person goes to Doubletree By Hilton Hotel Boston Downtown by Walking, this place is in the amenity category of Hotel/Hotel and Lodging. The distance is 0.8005411992755864 miles. It takes 15.0 minutes."
Internsion_1.1277301720981284e+18,Entertainment,Public_transport,2.829303986449922,28.0,Case Gym,"This person goes to Case Gym by Public_transport, this place is in the amenity category of Entertainment/Spectator Sports. The distance is 2.829303986449922 miles. It takes 28.0 minutes."
Internsion_1.0727146302005953e+19,Entertainment,Public_transport,1.5246550401454169,24.0,T Mobile Store,"This person goes to T Mobile Store by Public_transport, this place is in the amenity category of Entertainment/Media. The distance is 1.5246550401454169 miles. It takes 24.0 minutes."
Internsion_9.087496843433448e+18,Entertainment,Public_transport,3.3987838894891205,25.0,Boston College Club,"This person goes to Boston College Club by Public_transport, this place is in the amenity category of Entertainment/Spectator Sports. The distance is 3.3987838894891205 miles. It takes 25.0 minutes."
Internsion_1.7834098343938814e+19,Cultural,Walking,0.0731420712683884,1.0,Core Social Justice Cannabis Museum,"This person goes to Core Social Justice Cannabis Museum by Walking, this place is in the amenity category of Cultural/Museum. The distance is 0.0731420712683884 miles. It takes 1.0 minutes."
Internsion_1.2421272062556514e+19,Hotel,Car,2.561044032555325,7.0,Courtyard by Marriott Boston Logan Airport,"This person goes to Courtyard by Marriott Boston Logan Airport by Car, this place is in the amenity category of Hotel/Hotel and Lodging. The distance is 2.561044032555325 miles. It takes 7.0 minutes."
Internsion_1.194073242273462e+19,Leisure & Wellness,Walking,0.0869856851327388,1.0,Function and Form Pilates,"This person goes to Function and Form Pilates by Walking, this place is in the amenity category of Leisure & Wellness/Gym. The distance is 0.0869856851327388 miles. It takes 1.0 minutes."
