person_id,age,age_group,individual_income,income_group,household_size,family_structure,vehicles,target_amenity,target_mode,pred_mode
46113,29,Young Adult,53672,Moderate,3_person,family_single,1,F&B Eatery/Drinking Places,Walking,Public_transport
10057,26,Young Adult,0,Debt,3_person,nonfamily_single,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Walking
27746,73,Elderly,20629,Low,2_person,married_couple,2,F&B Eatery/Full-Service Restaurants,Car,Car
27315,25,Young Adult,45084,Moderate,3_person,nonfamily_single,2,F&B Eatery/Limited-Service Restaurants,Public_transport,Car
29362,26,Young Adult,59039,Moderate,2_person,nonfamily_single,0,F&B Eatery/Drinking Places,Walking,Walking
32543,28,Young Adult,61887,High,3_person,married_couple,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Public_transport
52783,73,Elderly,13954,Low,1_person,living_alone,1,F&B Eatery/Drinking Places,Car,Car
62546,21,Young Adult,7071,Low,7_plus_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Public_transport
51331,26,Young Adult,37816,Moderate,3_person,nonfamily_single,3_plus,F&B Eatery/Limited-Service Restaurants,Walking,Car
66549,55,Senior,91243,Very High,3_person,family_single,3_plus,F&B Eatery/Limited-Service Restaurants,Car,Car
58432,40,Adult,65659,High,2_person,nonfamily_single,2,F&B Eatery/Limited-Service Restaurants,Public_transport,Car
43826,40,Adult,0,Debt,7_plus_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
59578,64,Elderly,70974,High,3_person,married_couple,3_plus,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Car,Car
42072,26,Young Adult,23253,Low,3_person,family_single,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Walking
29882,70,Elderly,63276,High,3_person,married_couple,1,F&B Eatery/Limited-Service Restaurants,Public_transport,Car
13751,28,Young Adult,0,Debt,6_person,nonfamily_single,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Walking
53701,46,Middle Age,66012,High,2_person,married_couple,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Public_transport,Walking
5497,29,Young Adult,77288,High,2_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Car,Car
7044,48,Middle Age,114859,Very High,4_person,married_couple,2,F&B Eatery/Limited-Service Restaurants,Car,Car
39229,65,Elderly,31237,Moderate,3_person,family_single,0,F&B Eatery/Drinking Places,Walking,Public_transport
29317,59,Senior,54023,Moderate,2_person,nonfamily_single,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Car
18738,61,Elderly,12965,Low,2_person,married_couple,0,F&B Eatery/Full-Service Restaurants,Car,Walking
55323,37,Adult,154717,Ultra High,4_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Public_transport
28393,35,Adult,98194,Very High,3_person,married_couple,2,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Car
54010,32,Adult,86437,High,2_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
5097,63,Elderly,81035,High,2_person,nonfamily_single,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
21711,56,Senior,39547,Moderate,2_person,family_single,1,F&B Eatery/Drinking Places,Car,Car
62308,50,Middle Age,0,Debt,1_person,living_alone,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Public_transport,Car
17818,33,Adult,41864,Moderate,2_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
42645,43,Middle Age,206290,Ultra High,2_person,married_couple,2,F&B Eatery/Limited-Service Restaurants,Walking,Car
12380,44,Middle Age,40405,Moderate,1_person,living_alone,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
65530,55,Senior,32324,Moderate,2_person,married_couple,2,F&B Eatery/Full-Service Restaurants,Car,Car
14588,76,Elderly,41464,Moderate,2_person,nonfamily_single,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Public_transport,Car
30531,28,Young Adult,20629,Low,2_person,family_single,2,F&B Eatery/Full-Service Restaurants,Car,Car
13311,49,Middle Age,41258,Moderate,2_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Car,Car
60423,30,Young Adult,0,Debt,6_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Walking,Car
4541,29,Young Adult,73740,High,6_person,nonfamily_single,0,F&B Eatery/Full-Service Restaurants,Walking,Public_transport
13828,59,Senior,34037,Moderate,1_person,living_alone,1,F&B Eatery/Full-Service Restaurants,Walking,Car
39397,29,Young Adult,50507,Moderate,4_person,nonfamily_single,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Car,Public_transport
59179,25,Young Adult,53672,Moderate,4_person,family_single,2,F&B Eatery/Full-Service Restaurants,Car,Public_transport
22731,63,Elderly,0,Debt,5_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Walking,Car
63635,28,Young Adult,42184,Moderate,3_person,family_single,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Car,Public_transport
46433,32,Adult,21660,Low,2_person,family_single,2,F&B Eatery/Full-Service Restaurants,Walking,Car
52530,33,Adult,35655,Moderate,3_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
22115,29,Young Adult,5273,Low,2_person,married_couple,0,F&B Eatery/Full-Service Restaurants,Public_transport,Walking
23416,26,Young Adult,86641,High,2_person,married_couple,1,F&B Eatery/Limited-Service Restaurants,Walking,Car
27353,36,Adult,103145,Very High,1_person,living_alone,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Car
27258,30,Young Adult,137379,Ultra High,2_person,nonfamily_single,1,F&B Eatery/Full-Service Restaurants,Car,Car
17821,28,Young Adult,89641,High,2_person,nonfamily_single,2,F&B Eatery/Limited-Service Restaurants,Public_transport,Car
22462,34,Adult,60608,High,1_person,living_alone,0,F&B Eatery/Full-Service Restaurants,Walking,Walking
7960,25,Young Adult,16855,Low,6_person,family_single,0,F&B Eatery/Full-Service Restaurants,Public_transport,Walking
53571,37,Adult,162070,Ultra High,1_person,living_alone,1,F&B Eatery/Limited-Service Restaurants,Walking,Car
14440,63,Elderly,657756,Ultra High,2_person,married_couple,1,F&B Eatery/Limited-Service Restaurants,Car,Car
