person_id,age,age_group,individual_income,income_group,household_size,family_structure,vehicles,target_amenity,target_mode,pred_mode
46113,29,Young Adult,53672,Moderate,3_person,family_single,1,F&B Eatery/Drinking Places,Walking,Car
10057,26,Young Adult,0,Debt,3_person,nonfamily_single,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Walking
27746,73,Elderly,20629,Low,2_person,married_couple,2,F&B Eatery/Full-Service Restaurants,Car,Car
27315,25,Young Adult,45084,Moderate,3_person,nonfamily_single,2,F&B Eatery/Limited-Service Restaurants,Public_transport,Car
29362,26,Young Adult,59039,Moderate,2_person,nonfamily_single,0,F&B Eatery/Drinking Places,Walking,Walking
32543,28,Young Adult,61887,High,3_person,married_couple,1,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Car
52783,73,Elderly,13954,Low,1_person,living_alone,1,F&B Eatery/Drinking Places,Car,Car
62546,21,Young Adult,7071,Low,7_plus_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
51331,26,Young Adult,37816,Moderate,3_person,nonfamily_single,3_plus,F&B Eatery/Limited-Service Restaurants,Walking,Walking
66549,55,Senior,91243,Very High,3_person,family_single,3_plus,F&B Eatery/Limited-Service Restaurants,Car,Car
58432,40,Adult,65659,High,2_person,nonfamily_single,2,F&B Eatery/Limited-Service Restaurants,Public_transport,Car
43826,40,Adult,0,Debt,7_plus_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Public_transport,Car
59578,64,Elderly,70974,High,3_person,married_couple,3_plus,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Car,Car
42072,26,Young Adult,23253,Low,3_person,family_single,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Walking
29882,70,Elderly,63276,High,3_person,married_couple,1,F&B Eatery/Limited-Service Restaurants,Public_transport,Car
13751,28,Young Adult,0,Debt,6_person,nonfamily_single,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Walking,Walking
53701,46,Middle Age,66012,High,2_person,married_couple,0,F&B Eatery/Snack and Nonalcoholic Beverage Bars,Public_transport,Walking
5497,29,Young Adult,77288,High,2_person,married_couple,1,F&B Eatery/Full-Service Restaurants,Car,Car
