id,target_amenity,mode,distance_miles,duration_minutes,location_name,description
Internsion_1.025938143343315e+19,Full-Service Restaurants,Car,0.633440576335684,2.0,The Point,"This person goes to The Point by Car, this place is in the amenity category of F&B Eatery/Full-Service Restaurants. The distance is 0.633440576335684 miles. It takes 2.0 minutes."
Internsion_1.31903191242064e+18,Full-Service Restaurants,Walking,0.1074864970349355,2.0,University House of Pizza,"This person goes to University House of Pizza by Walking, this place is in the amenity category of F&B Eatery/Full-Service Restaurants. The distance is 0.1074864970349355 miles. It takes 2.0 minutes."
Internsion_2.335356997107879e+18,Nonalcoholic Bars,Car,19.457064542984394,32.0,Dunkin',"This person goes to Dunkin' by Car, this place is in the amenity category of F&B Eatery/Snack and Nonalcoholic Beverage Bars. The distance is 19.457064542984394 miles. It takes 32.0 minutes."
Internsion_1.7129519760729815e+19,Drinking Places,Car,19.43777797849956,32.0,Art Bar,"This person goes to Art Bar by Car, this place is in the amenity category of F&B Eatery/Drinking Places. The distance is 19.43777797849956 miles. It takes 32.0 minutes."
Internsion_4.024011999924464e+18,Full-Service Restaurants,Walking,0.0757054647873004,1.0,Kaze Shabu Shabu,"This person goes to Kaze Shabu Shabu by Walking, this place is in the amenity category of F&B Eatery/Full-Service Restaurants. The distance is 0.0757054647873004 miles. It takes 1.0 minutes."
Internsion_1.798291531784269e+19,Limited-Service Restaurants,Public_transport,3.222312951875508,32.0,Anna's Taqueria,"This person goes to Anna's Taqueria by Public_transport, this place is in the amenity category of F&B Eatery/Limited-Service Restaurants. The distance is 3.222312951875508 miles. It takes 32.0 minutes."
Internsion_1.6223966272128553e+19,Nonalcoholic Bars,Walking,0.2173123165492431,4.0,Frozen Hoagies Truck,"This person goes to Frozen Hoagies Truck by Walking, this place is in the amenity category of F&B Eatery/Snack and Nonalcoholic Beverage Bars. The distance is 0.2173123165492431 miles. It takes 4.0 minutes."
Internsion_1.0057909579961242e+19,Limited-Service Restaurants,Public_transport,5.486414921443638,46.0,McDonald's,"This person goes to McDonald's by Public_transport, this place is in the amenity category of F&B Eatery/Limited-Service Restaurants. The distance is 5.486414921443638 miles. It takes 46.0 minutes."
Internsion_1.4617825270337057e+19,Limited-Service Restaurants,Car,1.727602206418906,4.0,Burger King,"This person goes to Burger King by Car, this place is in the amenity category of F&B Eatery/Limited-Service Restaurants. The distance is 1.727602206418906 miles. It takes 4.0 minutes."
Internsion_1.3101415669440197e+19,Limited-Service Restaurants,Public_transport,1.7548729805175582,15.0,Kupel's Bakery,"This person goes to Kupel's Bakery by Public_transport, this place is in the amenity category of F&B Eatery/Limited-Service Restaurants. The distance is 1.7548729805175582 miles. It takes 15.0 minutes."
Internsion_1.6214297692698343e+19,Nonalcoholic Bars,Car,1.5175189985322268,6.0,Pepita Coffee,"This person goes to Pepita Coffee by Car, this place is in the amenity category of F&B Eatery/Snack and Nonalcoholic Beverage Bars. The distance is 1.5175189985322268 miles. It takes 6.0 minutes."
Internsion_2.3538795216003584e+18,Full-Service Restaurants,Public_transport,1.8540690031284,19.0,Eddy's Restaurant,"This person goes to Eddy's Restaurant by Public_transport, this place is in the amenity category of F&B Eatery/Full-Service Restaurants. The distance is 1.8540690031284 miles. It takes 19.0 minutes."
Internsion_7.690322539052258e+18,Full-Service Restaurants,Car,4.52761239325704,13.0,Legal Sea Foods,"This person goes to Legal Sea Foods by Car, this place is in the amenity category of F&B Eatery/Full-Service Restaurants. The distance is 4.52761239325704 miles. It takes 13.0 minutes."
Internsion_3.613024655185735e+18,Full-Service Restaurants,Car,0.9369983624898393,3.0,Locale,"This person goes to Locale by Car, this place is in the amenity category of F&B Eatery/Full-Service Restaurants. The distance is 0.9369983624898393 miles. It takes 3.0 minutes."
Internsion_1.5978830008261974e+19,Full-Service Restaurants,Car,0.6965827401555722,2.0,Cafe Mamtaz,"This person goes to Cafe Mamtaz by Car, this place is in the amenity category of F&B Eatery/Full-Service Restaurants. The distance is 0.6965827401555722 miles. It takes 2.0 minutes."
Internsion_7.327370101240624e+18,Nonalcoholic Bars,Walking,0.1529528414965909,2.0,Dunkin',"This person goes to Dunkin' by Walking, this place is in the amenity category of F&B Eatery/Snack and Nonalcoholic Beverage Bars. The distance is 0.1529528414965909 miles. It takes 2.0 minutes."
