id,age,individual_income,household_size,family_structure,vehicles,description
Person_1.1563800835176587e+19,75,20629,1_person,living_alone,1,"A 75 year old person, living in a living_alone family with 1_person members. The person has 1 vehicles and an annual income of 20629 dollars."
Person_8.563214790286262e+18,22,0,2_person,family_single,0,"A 22 year old person, living in a family_single family with 2_person members. The person has 0 vehicles and an annual income of 0 dollars."
Person_1.410556247153235e+19,25,9385,4_person,family_single,0,"A 25 year old person, living in a family_single family with 4_person members. The person has 0 vehicles and an annual income of 9385 dollars."
Person_6.908642153813615e+18,56,12790,3_person,family_single,3_plus,"A 56 year old person, living in a family_single family with 3_person members. The person has 3_plus vehicles and an annual income of 12790 dollars."
Person_5.109323705797475e+18,74,14647,1_person,living_alone,0,"A 74 year old person, living in a living_alone family with 1_person members. The person has 0 vehicles and an annual income of 14647 dollars."
Person_1.7871660849403302e+19,58,9596,2_person,family_single,0,"A 58 year old person, living in a family_single family with 2_person members. The person has 0 vehicles and an annual income of 9596 dollars."
Person_1.318586915890715e+19,21,10734,4_person,family_single,1,"A 21 year old person, living in a family_single family with 4_person members. The person has 1 vehicles and an annual income of 10734 dollars."
Person_4.417267054135099e+18,77,13333,2_person,family_single,0,"A 77 year old person, living in a family_single family with 2_person members. The person has 0 vehicles and an annual income of 13333 dollars."
Person_2.3807342863392045e+17,64,0,3_person,family_single,2,"A 64 year old person, living in a family_single family with 3_person members. The person has 2 vehicles and an annual income of 0 dollars."
Person_8.141223190771339e+16,21,2109,3_person,nonfamily_single,0,"A 21 year old person, living in a nonfamily_single family with 3_person members. The person has 0 vehicles and an annual income of 2109 dollars."
Person_5.37683722103411e+18,28,47457,2_person,nonfamily_single,2,"A 28 year old person, living in a nonfamily_single family with 2_person members. The person has 2 vehicles and an annual income of 47457 dollars."
Person_2.649691170781562e+18,27,48621,2_person,family_single,2,"A 27 year old person, living in a family_single family with 2_person members. The person has 2 vehicles and an annual income of 48621 dollars."
Person_7.335277656098461e+18,28,4242,2_person,married_couple,1,"A 28 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 4242 dollars."
Person_4.145686520066749e+18,79,22176,2_person,married_couple,2,"A 79 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 22176 dollars."
Person_7.637704439245793e+17,91,27677,1_person,living_alone,1,"A 91 year old person, living in a living_alone family with 1_person members. The person has 1 vehicles and an annual income of 27677 dollars."
Person_1.5103389111598223e+19,27,83842,2_person,married_couple,1,"A 27 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 83842 dollars."
Person_1.655812198419673e+19,28,76986,4_person,nonfamily_single,2,"A 28 year old person, living in a nonfamily_single family with 4_person members. The person has 2 vehicles and an annual income of 76986 dollars."
Person_3.004297327790549e+18,30,128661,1_person,living_alone,1,"A 30 year old person, living in a living_alone family with 1_person members. The person has 1 vehicles and an annual income of 128661 dollars."
Person_2.860061490714453e+18,87,160081,1_person,living_alone,0,"A 87 year old person, living in a living_alone family with 1_person members. The person has 0 vehicles and an annual income of 160081 dollars."
Person_9.878354198247422e+18,62,12067,1_person,living_alone,0,"A 62 year old person, living in a living_alone family with 1_person members. The person has 0 vehicles and an annual income of 12067 dollars."
Person_8.818717214375319e+18,84,9491,2_person,married_couple,1,"A 84 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 9491 dollars."
Person_1.119216604246008e+19,29,84368,2_person,married_couple,1,"A 29 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 84368 dollars."
Person_1.0819809593570198e+19,22,151521,3_person,nonfamily_single,1,"A 22 year old person, living in a nonfamily_single family with 3_person members. The person has 1 vehicles and an annual income of 151521 dollars."
Person_8.343060365983444e+18,30,53672,4_person,family_single,0,"A 30 year old person, living in a family_single family with 4_person members. The person has 0 vehicles and an annual income of 53672 dollars."
Person_2.5954766254297943e+18,36,152964,3_person,married_couple,2,"A 36 year old person, living in a married_couple family with 3_person members. The person has 2 vehicles and an annual income of 152964 dollars."
Person_1.003518118082739e+19,34,53635,2_person,married_couple,1,"A 34 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 53635 dollars."
Person_1.4612949027900756e+19,61,0,4_person,married_couple,1,"A 61 year old person, living in a married_couple family with 4_person members. The person has 1 vehicles and an annual income of 0 dollars."
Person_1.4135146416864113e+19,31,50621,2_person,nonfamily_single,0,"A 31 year old person, living in a nonfamily_single family with 2_person members. The person has 0 vehicles and an annual income of 50621 dollars."
Person_1.0362697716261771e+19,31,19185,2_person,married_couple,2,"A 31 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 19185 dollars."
Person_7.028593803255549e+18,82,34250,1_person,living_alone,0,"A 82 year old person, living in a living_alone family with 1_person members. The person has 0 vehicles and an annual income of 34250 dollars."
Person_1.4520532473396908e+19,74,10734,5_person,married_couple,1,"A 74 year old person, living in a married_couple family with 5_person members. The person has 1 vehicles and an annual income of 10734 dollars."
Person_1.1557086312769458e+19,50,8889,7_plus_person,nonfamily_single,0,"A 50 year old person, living in a nonfamily_single family with 7_plus_person members. The person has 0 vehicles and an annual income of 8889 dollars."
Person_8.950777342993586e+18,73,190537,1_person,living_alone,0,"A 73 year old person, living in a living_alone family with 1_person members. The person has 0 vehicles and an annual income of 190537 dollars."
Person_8.898380673366748e+18,59,34334,2_person,married_couple,2,"A 59 year old person, living in a married_couple family with 2_person members. The person has 2 vehicles and an annual income of 34334 dollars."
Person_8.989466393510802e+18,52,0,2_person,married_couple,1,"A 52 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 0 dollars."
Person_1.5628338731341734e+18,61,8889,7_plus_person,nonfamily_single,0,"A 61 year old person, living in a nonfamily_single family with 7_plus_person members. The person has 0 vehicles and an annual income of 8889 dollars."
Person_1.101748412271408e+18,42,362784,3_person,married_couple,2,"A 42 year old person, living in a married_couple family with 3_person members. The person has 2 vehicles and an annual income of 362784 dollars."
Person_4.928231485155644e+18,24,28848,4_person,married_couple,2,"A 24 year old person, living in a married_couple family with 4_person members. The person has 2 vehicles and an annual income of 28848 dollars."
Person_1.6530016242117722e+19,29,172734,2_person,nonfamily_single,1,"A 29 year old person, living in a nonfamily_single family with 2_person members. The person has 1 vehicles and an annual income of 172734 dollars."
Person_5.834601769679265e+18,90,312255,2_person,married_couple,1,"A 90 year old person, living in a married_couple family with 2_person members. The person has 1 vehicles and an annual income of 312255 dollars."
